"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-05,9010,monthly,322324,600796,379979,327099,288559,2013-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-06,8930,monthly,324518,600375,380448,330385,290694,2013-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-07,10889,monthly,332988,612056,388303,339351,298764,2013-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-08,11153,monthly,335743,621017,394860,343054,299890,2013-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-09,10276,monthly,340494,627915,394236,346089,306464,2013-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-10,10935,monthly,340045,629328,398386,343921,305736,2013-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-11,11427,monthly,343749,631279,401464,348311,309270,2013-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2013-12,10775,monthly,352028,632546,405661,355889,319009,2013-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-01,9966,monthly,355830,651986,413770,360184,320787,2014-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-02,9363,monthly,357876,657774,415632,361192,323086,2014-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-03,9537,monthly,361400,656427,417649,365214,326778,2014-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-04,9809,monthly,375337,688122,435644,381773,337738,2014-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-05,10155,monthly,382705,692487,441186,388249,345723,2014-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-06,10486,monthly,387182,699099,446329,393924,349362,2014-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-07,11340,monthly,398737,728491,465103,407975,357492,2014-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-08,11243,monthly,404754,739313,471552,414689,362768,2014-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-09,10437,monthly,403670,738828,468585,411840,362757,2014-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-10,10773,monthly,402300,741040,470849,410173,360746,2014-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-11,9095,monthly,400803,743115,472027,409211,358450,2014-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2014-12,9745,monthly,402898,739606,469349,409482,362322,2014-12-01
