"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-01,126,monthly,53007,75234,45926,38181,31132,2000-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-02,125,monthly,54849,77949,47497,39466,32129,2000-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-03,173,monthly,55940,79637,48479,40189,32469,2000-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-04,171,monthly,56218,79793,48702,40519,32813,2000-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-05,158,monthly,55615,78866,48214,40096,32557,2000-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-06,194,monthly,56008,79486,48513,40332,32966,2000-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-07,185,monthly,56486,80602,48900,40463,32975,2000-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-08,225,monthly,57402,82153,49693,40977,33473,2000-08-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-09,202,monthly,58174,83584,50239,41396,33872,2000-09-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-10,187,monthly,60027,86151,51963,42683,35143,2000-10-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-11,155,monthly,60092,86411,51946,42652,35253,2000-11-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2000-12,196,monthly,61597,88297,53380,43792,36354,2000-12-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-01,123,monthly,60883,87146,52729,43368,35994,2001-01-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-02,109,monthly,60975,86945,52917,43575,36069,2001-02-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-03,189,monthly,61470,87573,53360,44003,36161,2001-03-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-04,171,monthly,63267,90261,54757,45321,37140,2001-04-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-05,233,monthly,65328,93254,56437,46849,38239,2001-05-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-06,181,monthly,64468,91982,55695,46211,37975,2001-06-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-07,217,monthly,65596,93584,56766,46978,38594,2001-07-01
Pembrokeshire,http://landregistry.data.gov.uk/id/region/pembrokeshire,W06000009,2001-08,245,monthly,65023,92875,56277,46488,38320,2001-08-01
