"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-01,151,monthly,161704,272161,154630,117725,105224,2000-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-02,160,monthly,160547,269752,153613,117136,104433,2000-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-03,234,monthly,163078,275094,156107,118786,105289,2000-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-04,219,monthly,168131,282183,160935,122800,109264,2000-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-05,224,monthly,175151,293794,167797,127642,114074,2000-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-06,248,monthly,178151,297916,170688,129811,116679,2000-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-07,242,monthly,179907,302878,172310,130450,117048,2000-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-08,230,monthly,180276,304601,172428,130108,117285,2000-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-09,222,monthly,177731,302468,169478,127558,115219,2000-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-10,166,monthly,175215,297635,167172,125533,114085,2000-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-11,197,monthly,175064,297772,166684,125262,114178,2000-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2000-12,235,monthly,178167,301083,169797,127787,117177,2000-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-01,146,monthly,180921,305016,172241,130267,119194,2001-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-02,140,monthly,178617,300410,170432,128982,117487,2001-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-03,208,monthly,181004,304896,172924,130768,118480,2001-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-04,189,monthly,184808,311234,176285,133733,121108,2001-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-05,216,monthly,189759,318623,180918,137629,124881,2001-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-06,255,monthly,191667,320586,182679,139282,126921,2001-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-07,284,monthly,191525,320583,182664,139015,126675,2001-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-08,282,monthly,196303,329359,186860,142337,129770,2001-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-09,241,monthly,199113,336106,188947,143890,131153,2001-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-10,216,monthly,200669,338310,190506,144776,132653,2001-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-11,210,monthly,200492,337072,190668,144446,133123,2001-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2001-12,189,monthly,200189,333978,190809,144422,134324,2001-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-01,149,monthly,202480,337419,193057,145984,136181,2002-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-02,159,monthly,203985,339028,194423,147713,137342,2002-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-03,181,monthly,205023,341049,195503,148603,137552,2002-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-04,216,monthly,206824,342359,197130,150299,139828,2002-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-05,308,monthly,208902,344876,199396,151652,141825,2002-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-06,243,monthly,214017,351936,204133,155876,146090,2002-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-07,288,monthly,216060,355991,206022,157455,146887,2002-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-08,292,monthly,221563,365452,210996,161490,150590,2002-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-09,279,monthly,226513,374662,215844,164578,153465,2002-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-10,244,monthly,232568,383730,222019,168758,158108,2002-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-11,213,monthly,233838,386083,223052,169275,159386,2002-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2002-12,205,monthly,233484,383690,223040,169136,160166,2002-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-01,173,monthly,235057,385917,223932,170596,161911,2003-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-02,141,monthly,232256,379214,221994,168959,160499,2003-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-03,144,monthly,235674,384933,225120,171672,162668,2003-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-04,158,monthly,236089,383379,226515,172309,163349,2003-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-05,197,monthly,240533,389622,230943,176277,166316,2003-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-06,164,monthly,241761,390606,232068,177360,167898,2003-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-07,225,monthly,245103,396303,235447,179942,169638,2003-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-08,245,monthly,247197,400212,237389,181229,170976,2003-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-09,253,monthly,248204,401984,238765,182226,170806,2003-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-10,242,monthly,248680,402040,239037,182902,171622,2003-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-11,229,monthly,249778,402957,240354,183916,172600,2003-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2003-12,234,monthly,249385,399983,240170,184255,173491,2003-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-01,186,monthly,249634,400453,240514,184390,173534,2004-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-02,165,monthly,247842,396920,238688,183513,172535,2004-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-03,185,monthly,250824,401789,241503,186049,174298,2004-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-04,229,monthly,252033,401103,243193,188220,175540,2004-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-05,211,monthly,253676,400576,245318,190645,177620,2004-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-06,213,monthly,253415,397996,245575,191130,178055,2004-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-07,282,monthly,259839,407881,252157,196065,182230,2004-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-08,275,monthly,266553,420215,258330,200604,186285,2004-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-09,211,monthly,269882,426846,261442,202705,187928,2004-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-10,214,monthly,266669,421552,257721,200177,186719,2004-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-11,178,monthly,266602,420675,257589,200373,187188,2004-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2004-12,160,monthly,260023,408700,251080,196195,183437,2004-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-01,136,monthly,261229,411178,251935,197384,183908,2005-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-02,111,monthly,255709,402833,246896,193098,179548,2005-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-03,132,monthly,260206,410358,251485,196442,182127,2005-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-04,185,monthly,261924,411205,254036,198240,183535,2005-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-05,194,monthly,266719,417800,258489,202496,187348,2005-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-06,185,monthly,268199,419293,260060,204090,188546,2005-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-07,269,monthly,265736,416424,257571,202150,186150,2005-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-08,257,monthly,267378,420028,258943,203373,186683,2005-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-09,214,monthly,269426,424768,260522,204759,187398,2005-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-10,222,monthly,271583,427574,262119,206630,189711,2005-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-11,267,monthly,275181,431846,265940,209772,192688,2005-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2005-12,228,monthly,279065,435737,269702,213206,196871,2005-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-01,168,monthly,280206,438365,270872,214202,196790,2006-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-02,193,monthly,277257,433187,267828,212089,195103,2006-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-03,211,monthly,274715,430145,265633,210084,192204,2006-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-04,202,monthly,277482,433054,268778,212559,194505,2006-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-05,269,monthly,284852,445443,275973,217834,199238,2006-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-06,283,monthly,289945,453532,280987,221620,202717,2006-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-07,304,monthly,292741,459131,283670,223925,203685,2006-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-08,344,monthly,291741,458169,282896,223699,201986,2006-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-09,261,monthly,293987,463351,285100,225338,202382,2006-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-10,276,monthly,299018,471203,289672,228820,206433,2006-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-11,241,monthly,302128,475993,292985,231111,208466,2006-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2006-12,264,monthly,305260,479390,295823,233983,211569,2006-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-01,199,monthly,306499,481930,297118,234974,211885,2007-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-02,182,monthly,303294,476899,293558,232191,210278,2007-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-03,223,monthly,307557,484271,297915,235488,212470,2007-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-04,214,monthly,306633,481869,296894,235488,212021,2007-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-05,276,monthly,320029,501766,309892,246406,221551,2007-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-06,278,monthly,322530,505669,312090,248294,223506,2007-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-07,271,monthly,333772,525782,322874,256257,230251,2007-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-08,353,monthly,338385,535748,327491,259776,231513,2007-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-09,251,monthly,339536,539760,328295,259990,231616,2007-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-10,270,monthly,337867,536833,325950,258621,231325,2007-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-11,265,monthly,331568,527421,319279,252952,227759,2007-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2007-12,184,monthly,330548,524224,318493,252444,227735,2007-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-01,92,monthly,329920,524572,317861,251435,226852,2008-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-02,154,monthly,331804,527364,320022,253157,227859,2008-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-03,89,monthly,329883,525236,318638,252150,225252,2008-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-04,130,monthly,324255,516091,313644,248394,220712,2008-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-05,175,monthly,324663,517096,314087,249020,220411,2008-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-06,109,monthly,322192,514111,311344,246678,218662,2008-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-07,124,monthly,322383,515354,311681,246356,218294,2008-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-08,124,monthly,319044,511650,307989,243055,215777,2008-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-09,116,monthly,316569,510173,304746,240259,213669,2008-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-10,125,monthly,308302,496995,296449,233600,208593,2008-10-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-11,92,monthly,297992,480893,286506,225520,201458,2008-11-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2008-12,95,monthly,286010,459830,275446,217364,193547,2008-12-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-01,62,monthly,284812,459071,273440,216070,192922,2009-01-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-02,70,monthly,271300,436080,260631,205941,184552,2009-02-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-03,75,monthly,267142,429003,256382,202385,182726,2009-03-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-04,101,monthly,263112,419444,253959,200722,180012,2009-04-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-05,138,monthly,268733,427920,259761,205920,183091,2009-05-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-06,125,monthly,274342,437042,265762,210726,185649,2009-06-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-07,226,monthly,275457,440598,266924,211494,184757,2009-07-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-08,175,monthly,285714,458614,276912,219179,190282,2009-08-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-09,209,monthly,295531,475277,286425,226630,196059,2009-09-01
Waverley,http://landregistry.data.gov.uk/id/region/waverley,E07000216,2009-10,199,monthly,301830,485725,292679,231566,199706,2009-10-01
